X,Y,OBJECTID,facilityid,facilityarea,name,factype,fulladdr,municipality,agency,agencytype,agencyurl,pocname,pocphone,pocemail,phone,operdays,operhours,adultmeals,readytoeatmeals,comments,GlobalID,created_user,created_date,last_edited_user,last_edited_date,snapauthorized
-78.9590149999664,35.9662739995606,1015,141131,0,TARGET,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro",4037 DURHAM CHAPEL HILL BLVD,DURHAM,,,https://www.target.com/sl/durham/1872,,9197650008,,919-765-0008,"7 days/week; Siete días a la semana",7 am - 10 pm,,,,{A8702F7A-2022-49BB-B724-CD89BC70B422},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,Yes
-78.9574580005124,35.9646110004507,1016,140537,0,LITTLE INDIA,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro",4201 UNIVERSITY DR # 110,DURHAM,,,,,9194899084,,919-489-9084,"7 days/week; Siete días a la semana",11am-9pm,,,,{FF30001C-51CF-476F-B941-112A268FB942},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,
-78.9566270003841,35.9673879997317,1025,140983,0,SAM'S CLUB,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro",4005 DURHAM-CHAPEL HILL BLVD,DURHAM,,,https://www.samsclub.com/club/durham-nc-sams-club/4831,,9194898160,,919-489-8160,"7 days/week; Siete días a la semana","Monday-Friday (Lunes-viernes): 10am-8pm, Saturday (sábado): 10am-6pm9am-8pm; Sunday(Domnigo):",,,,{2B2B2764-7A83-4E02-B73B-4ECCE1F63A16},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,Yes
-78.9275820006132,35.9876589995568,1513,140183,0,FOOD LION #1343,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro",2000 CHAPEL HILL RD,DURHAM,,,https://www.foodlion.com/,,9194020190,,919-402-0190,"7 days/week; Siete días a la semana",7am-10pm,,,,{EFC06C2E-662B-440F-B0BE-405F167FCE24},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,Yes
-78.9240799997483,36.0097689995655,1955,138409,0,HARRIS TEETER #394,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro",2107 HILLSBOROUGH RD,DURHAM,,,https://www.harristeeter.com/,,9192861500,,919-286-1500,"7 days/week; Siete días a la semana",6am-11pm,,,,{BD8F5369-8E89-41A6-B0E3-2D2EE74A7728},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,Yes
-78.9095689998447,35.9851570000827,1970,139880,0,COMPARE FOODS,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro",1233 UNIVERSITY DR,DURHAM,,,,,9194198346,,919-419-8346,"7 days/week; Siete días a la semana",7:30am-9:00pm,,,,{317D42A3-C059-4747-A8DF-3C859CCF891B},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,Yes
-78.9206310002333,36.0069919995539,1986,139413,0,WHOLE FOODS MARKET,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro",621 BROAD ST,DURHAM,,,https://www.wholefoodsmarket.com,,9192862290,,919-286-2290,"7 days/week; Siete días a la semana",7 am - 10 pm,,,,{1B84B054-B1D3-45DA-BAED-D3BFE40199EF},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,Yes
-78.9337690001103,36.0140110000474,2015,138297,0,FOOD LION #1099,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro",2930 W MAIN ST,DURHAM,,,https://www.foodlion.com/,,9192860400,,919-286-0400,"7 days/week; Siete días a la semana",7am-10pm,,,,{E8E188D4-677B-46F0-8270-90279050E7F0},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,Yes
-78.9225919992247,36.026218000503,2017,138751,0,Tienda Mi Barrio,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro",2405 GUESS RD,DURHAM,,,,,9192860305,,919-286-0305,7 days/week/Siete días a la semana,9am-9pm,,,Grocery store,{12E91578-7951-4EC1-AF15-B0364C8A0AE4},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,No
-78.9309689999662,36.0565409994057,2138,138408,0,HARRIS TEETER #254,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro",1501 HORTON RD,DURHAM,,,https://www.harristeeter.com/,,,,9194711938,"7 days/week; Siete días a la semana",6am-11pm,,,,{DA327FAC-01AE-4DA2-87BB-E46E2CE4AD86},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,Yes
-78.9277730000252,36.0585099996038,2145,138298,0,FOOD LION #420,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro",3808 GUESS RD,DURHAM,,,https://www.foodlion.com/,,9194710817,,919-471-0817,"Monday-Saturday; Lunes- Sábado","Mon-Fri (Lunes-Viernes) 9am-7pm/ ; Sat (Sábado)9am-4pm",,,,{351D5B90-B552-48FE-8D6E-B8625B838097},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,Yes
-78.9066090004028,36.0691799997572,2157,136730,0,HARRIS TEETER #493,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro",5116 N ROXBORO ST,DURHAM,,,https://www.harristeeter.com/,,9194716263,,919-471-6263,"7 days/week; Siete días a la semana",6am-11pm,,,,{081FBF8D-E693-47B8-A335-E4AA424BD442},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,Yes
-78.9112240009549,36.076510999779,2162,142712,0,FOOD LION #57,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro",5279 N ROXBORO RD,DURHAM,,,FOODLION.COM,,9194770438,,919-477-0438,"7 days/week; Siete días a la semana",7am-11pm,,,,{099E88CE-AEB6-4D27-B14E-56AC2D8FE54A},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,Yes
-78.9024280003951,35.9019580002138,2198,143051,0,AROUND THE WORLD MARKET,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro",1708 E NC HIGHWAY 54,DURHAM,,,https://www.aroundtheworldnc.com/,,9195725599,,919-572-5599,"7 days/week; Siete días a la semana","Mon-Sat (Lunes- Sábado): 11am-9pm; Sun (Domingo): 11am-6pm",,,,{33693963-5303-4A13-83E2-9A5C711F9E25},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,Yes
-78.8981859995157,35.8990970003325,2201,143682,0,FOOD LION #885,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro",4900 NC HIGHWAY 55 # 300,DURHAM,,,https://www.foodlion.com/,,9195444180,,919-544-4180,"7 days/week; Siete días a la semana",6am-11pm,,,,{BB6C72F3-F1EF-4008-B86C-1AB823C4E2EF},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,Yes
-78.8999630005394,35.9877740002528,2363,140033,0,DURHAM FOOD WORLD,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro",401 E LAKEWOOD AVE # A,DURHAM,,,https://www.foodworlddurham.com,,9196804282,,919-680-4282,"7 days/week; Siete días a la semana",8am-9pm,,,,{98471B77-0267-45BA-A387-DCAE101546BE},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,Yes
-78.8879389999834,35.9879910000878,2426,133640,0,LOS PRIMOS SUPERMARKET,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro",1109 E MAIN ST,DURHAM,,,https://losprimos.us/,,9196826417,,919-682-6417,"7 days/week; Siete días a la semana","Mon-Fri (Lunes-Viernes): 8am - 9 pm; Sat & Sun (Sábado- Domingo): 8am-8pm",,,,{E2DEDAA1-B22D-4302-AE72-F979081FCFD5},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,Yes
-78.8865129998159,35.9923100002939,2428,133948,0,SAVE-A-LOT,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro",812 LIBERTY ST,DURHAM,,,https://savealot.com/,,9195308596,,919-530-8596,"7 days a week; sábado, domingo",8am-10pm,,,,{546F221C-9CC0-4C33-80F6-0B7E1CC9424C},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,Yes
-78.8895490004385,36.0198710004279,2457,136721,0,KING'S RED & WHITE SUPERMARKET,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro",305 E CLUB BLVD,DURHAM,,,https://www.kingsredandwhite.com,,,,919-220-2192,"7 days/week; Siete días a la semana","Mon to Sat (Lunes- Sábado): 8:30am - 6pm; Sun (Domingo): 11:30am - 6pm",,,,{0EA78C28-7A3C-437A-BD12-2DAEB572CB90},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,Yes
-78.89254799937,36.0376210003728,2520,136543,0,FOOD LION #747,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro",3500 N ROXBORO ST,DURHAM,,,https://www.foodlion.com/,,9192207651,,919-220-7651,"7 days/week; Siete días a la semana",7am-10pm,,,,{D3FF29D7-949F-417C-861F-75E5598C91D4},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,Yes
-78.8860089999812,36.0164490000425,2528,136264,0,COMPARE FOODS,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro",2000 AVONDALE DR # A,DURHAM,,,,,9192209638,,919-220-9638,"7 days/week; Siete días a la semana",8am-8pm,,,,{7A10907F-23FC-49E7-9FF9-E0490873424D},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,Yes
-78.8594210002323,35.9892850001024,2542,134993,0,FOOD LION #234,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro",2400 HOLLOWAY ST # C,DURHAM,,,https://www.foodlion.com/,,9195981433,,919-598-1433,"7 days/week; Siete días a la semana",7am-10pm,,,,{F0205D9A-22F6-461A-828A-1C589DDE1224},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,Yes
-78.8437809999509,36.0285110003289,2561,137173,0,WALMART SUPERCENTER,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro",1525 GLENN SCHOOL RD,DURHAM,,,WALMART.COM,,9196883595,,919-688-3595,"7 days/week; Siete días a la semana",,,,,{ACB6596E-BE2F-4598-A010-941F64BA36A7},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,Yes
-78.7929080000855,35.9745710007593,2581,134992,0,FOOD LION #2589,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro",121 SHERRON RD # 210,DURHAM,,,https://www.foodlion.com/,,9195962363,,919-596-2363,"7 days/week; Siete días a la semana",6 am-11pm,,,,{B49AD5E6-9123-496C-AAC0-14E29BC4282D},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,Yes
-78.8217469997103,35.9823339999582,2595,134669,0,CARLIE C'S IGA,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro",3729 WAKE FOREST RD,DURHAM,,,https://www.carliecs.com/,,9195969221,,919-596-9221,"7 days/week; Siete días a la semana",7am-8:30pm,,,,{0189A184-D161-48FF-A665-577CA8441141},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,Yes
-78.8205489999766,35.981747000501,2597,134723,0,CIRCUS FOOD STORE,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro",3801 WAKE FOREST RD,DURHAM,,,,,9195966696,,919-596-6696,"7 days/week; Siete días a la semana",6am-11pm,,,,{F9203F44-D4EF-4C00-A125-E3C055A1B847},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,
-78.8103790003054,35.9202500006093,2670,97115,0,FOOD LION #2646,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro","2121 TW ALEXANDER DR # 107, MORRISVILLE, NC 27560",MORRISVILLE,,,https://www.foodlion.com/,,9195981932,,919-598-1932,"7 days/week; Siete días a la semana",6am-12pm,,,,{80C4F286-4680-489B-BAFE-F966ED993E83},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,Yes
-78.9608379999478,35.9000430003482,2696,142974,0,ALDI,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro",7906 NC HIGHWAY 751,DURHAM,,,https://www.aldi.us/,,6308798100,,855-955-2534,"7 days/week; Siete días a la semana",7 am - 8 pm,,,,{B9A8799A-8D2B-44A9-8B80-2FD2F3A34E21},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,Yes
-78.8406800005201,35.9678090001033,2716,97768,0,HARRIS TEETER #304,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro","10440 GLENWOOD AVE, RALEIGH, NC 27617",DURHAM,,,https://www.harristeeter.com/,,9195965399,,919-596-5399,"7 days/week; Siete días a la semana",6am-11pm,,,,{2968E09D-7539-4161-8F5E-7E9A81D56067},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,Yes
-78.8881343097996,36.0151050571624,2725,,0,Compare Foods,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro",2000 Avondale Dr,,,,https://www.facebook.com/CompareFoodsDurham/,,,,919-220-9638,"7 days/week; Siete días a la semana",8 am - 9pm,,,,{B24E0189-80B4-43E2-B2EC-BF123472A9BF},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,Yes
-78.921350645801,36.0292387215379,2729,,0,HARRIS TEETER #497,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro",1802 NORTH POINTE DR,,,,https://www.harristeeter.com/,,,,919-220-5761,"7 days/week; Siete días a la semana",6am-11pm,,,,{5C34E416-A190-479C-B2C0-113663FA7C0E},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,Yes
-78.948452887485,36.0189296274564,2730,,0,HARRIS TEETER #492,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro",3457 HILLSBOROUGH RD,,,,https://www.harristeeter.com/,,,,919-383-2249,"7 days/week; Siete días a la semana",6am-11pm,,,,{A386EB21-0C8C-4725-83FD-4B13F1DF7F12},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,Yes
-78.843458490633,36.0283125684633,2731,,0,WALMART SUPERCENTER #1614,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro",1525 GLENN SCHOOL RD,,,,https://www.walmart.com,,,,919-688-3595,"7 days/week; Siete días a la semana",7am - 8:30pm,,,,{C0DEBA5A-88BD-4083-BD06-B1A438F48130},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,Yes
-78.7779150763653,35.9125105617099,2732,,0,WALMART SUPERCENTER #5118,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro","10050 GLENWOOD AVE, RALEIGH 27617",,,,https://www.walmart.com,,,,919-596-5790,"7 days/week; Siete días a la semana",7am - 8:30pm,,,,{41F6BE7A-9A3B-42EE-9091-33B67991E714},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,Yes
-78.998967712063,35.9548144593219,2733,,0,WALMART SUPERCENTER #2137,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro",5450 NEW HOPE COMMONS DR,,,,https://www.walmart.com,,,,919-489-4412,"7 days/week; Siete días a la semana",7am - 8:30pm,,,,{73EBCE0B-8819-4D67-8290-725791CA03A2},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,Yes
-78.9384267796412,35.9100227576969,2734,,0,SPROUTS FARMERS MARKET,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro",105 W NC 54 HWY,,,,https://www.sprouts.com,,,,919-768-4055,"7 days/week; Siete días a la semana",7am-10pm,,,,{0FA61086-1896-4A47-A1AE-33FFBFD04CFD},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,Yes
